Date Time,Max_RTT_ms,Sent_Packets,Received_Packets
2025/Sep/24 16:51:49,39.872,1,1
2025/Sep/24 16:51:50,38.858,1,1
2025/Sep/24 16:51:51,38.903,1,1
2025/Sep/24 16:51:52,38.161,1,1
2025/Sep/24 16:51:53,35.534,1,1
2025/Sep/24 16:51:54,37.182,1,1
2025/Sep/24 16:51:56,38.968,1,1
2025/Sep/24 16:51:57,33.313,1,1
2025/Sep/24 16:51:58,39.835,1,1
2025/Sep/24 16:51:59,34.448,1,1
2025/Sep/24 16:52:00,39.770,1,1
2025/Sep/24 16:52:01,39.908,1,1
2025/Sep/24 16:52:02,35.705,1,1
2025/Sep/24 16:52:04,35.783,1,1
2025/Sep/24 16:52:05,39.574,1,1
2025/Sep/24 16:52:06,43.991,1,1
2025/Sep/24 16:52:07,33.618,1,1
2025/Sep/24 16:52:08,43.716,1,1
2025/Sep/24 16:52:09,33.665,1,1
2025/Sep/24 16:52:11,37.722,1,1
2025/Sep/24 16:52:12,37.336,1,1
2025/Sep/24 16:52:13,38.161,1,1
2025/Sep/24 16:52:14,32.883,1,1
2025/Sep/24 16:52:15,42.365,1,1
2025/Sep/24 16:52:16,35.099,1,1
2025/Sep/24 16:52:17,34.711,1,1
2025/Sep/24 16:52:19,38.577,1,1
2025/Sep/24 16:52:20,44.041,1,1
2025/Sep/24 16:52:21,43.995,1,1
2025/Sep/24 16:52:22,32.113,1,1
2025/Sep/24 16:52:23,35.774,1,1
2025/Sep/24 16:52:24,46.610,1,1
2025/Sep/24 16:52:25,50.639,1,1
2025/Sep/24 16:52:27,39.997,1,1
2025/Sep/24 16:52:28,46.400,1,1
2025/Sep/24 16:52:29,46.816,1,1
2025/Sep/24 16:52:30,34.341,1,1
2025/Sep/24 16:52:31,35.269,1,1
2025/Sep/24 16:52:32,36.007,1,1
2025/Sep/24 16:52:33,39.621,1,1
2025/Sep/24 16:52:35,35.348,1,1
2025/Sep/24 16:52:36,40.039,1,1
2025/Sep/24 16:52:37,56.004,1,1
2025/Sep/24 16:52:38,41.933,1,1
2025/Sep/24 16:52:39,36.113,1,1
2025/Sep/24 16:52:40,44.919,1,1
